SKU,Producto,Nombre_Botanico,Formatos_Disponibles,Linea_Comercial,Precio_PV,Disponibilidad
357508,Lavanda (Lavender),Lavandula angustifolia,"15ml, 5ml, Roll-On",Singles,24.50,En Stock
357808,Limón (Lemon),Citrus limon,"15ml, 5ml",Singles,11.75,En Stock
353408,Menta (Peppermint),Mentha piperita,"15ml, 5ml, Roll-On",Singles,22.00,En Stock
354808,Incienso (Frankincense),Boswellia carterii,"15ml, 5ml",Singles,75.50,En Stock
342308,Thieves,Mezcla propietaria,"15ml, 5ml, Roll-On",Blends,34.75,En Stock
343108,Copaiba,Copaifera reticulata,"15ml, 5ml",Singles,44.00,En Stock
338908,Purification,Mezcla propietaria,"15ml, 5ml",Blends,19.50,En Stock
340908,R.C.,Mezcla propietaria,"15ml, 5ml",Blends,24.00,En Stock
332408,DiGize,Mezcla propietaria,"15ml, 5ml",Blends,33.75,En Stock
342908,Valor,Mezcla propietaria,"15ml, 5ml, Roll-On",Blends,41.50,En Stock
339008,PanAway,Mezcla propietaria,"15ml, 5ml",Blends,36.25,En Stock
358708,Árbol de Té (Tea Tree),Melaleuca alternifolia,15ml,Singles,26.75,En Stock
360208,Naranja (Orange),Citrus sinensis,15ml,Singles,11.00,En Stock
365908,Ylang Ylang,Cananga odorata,15ml,Singles,42.50,En Stock
339808,Paz y Calma (Peace & Calming),Mezcla propietaria,"15ml, 5ml",Blends,35.50,En Stock
360508,Orégano,Origanum vulgare,15ml,Singles,28.50,En Stock
331808,Citrus Fresh,Mezcla propietaria,15ml,Blends,16.00,En Stock
337208,Joy,Mezcla propietaria,15ml,Blends,43.00,En Stock
308408,Blue Tansy,Tanacetum annuum,5ml,Singles,97.50,En Stock
350908,Cedarwood (Madera de Cedro),Cedrus atlantica,15ml,Singles,11.50,En Stock
463008,Stress Away,Mezcla propietaria,"15ml, Roll-On",Blends,30.50,En Stock
353808,Eucalipto Radiata,Eucalyptus radiata,15ml,Singles,19.00,En Stock
352108,Clary Sage (Salvia Esclarea),Salvia sclarea,15ml,Singles,48.00,En Stock
356008,Grapefruit (Pomelo),Citrus paradisi,15ml,Singles,17.25,En Stock
358108,Lemongrass (Hierba Limón),Cymbopogon flexuosus,15ml,Singles,11.75,En Stock
360808,Patchouli,Pogostemon cablin,15ml,Singles,34.75,En Stock
362608,Rosemary (Romero),Rosmarinus officinalis,15ml,Singles,16.50,En Stock
365808,Wintergreen (Gaulteria),Gaultheria procumbens,15ml,Singles,18.25,En Stock
353008,Cypress (Ciprés),Cupressus sempervirens,15ml,Singles,19.75,En Stock
365108,Vetiver,Vetiveria zizanoides,5ml,Singles,21.50,En Stock
