SKU,Producto,Nombre_Botanico,Formatos_Disponibles,Linea_Comercial,Precio_PV,Disponibilidad
350017,Thieves®,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,17.25,En Stock
350034,KidScents®,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,19.50,En Stock
350051,NingXia Red®,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,21.75,En Stock
350068,Product Guide,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,24.00,En Stock
350085,Abeto de Vancouver (Idaho Grand Fir) 5 ml 31.00 PV Al por menor: &#x20AC;50.30 Al por mayor: &#x20AC;38.22,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,26.25,En Stock
350102,Albahaca (Basil) 15 ml 30.50 PV Al por menor: &#x20AC;49.50 Al por mayor: &#x20AC;37.62,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,28.50,En Stock
350119,Alcanforero (Ravintsara) 5 ml 35.00 PV Al por menor: &#x20AC;56.66 Al por mayor: &#x20AC;43.06,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,30.75,En Stock
350136,Angelica 5 ml 59.50 PV Al por menor: &#x20AC;95.67 Al por mayor: &#x20AC;72.71,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,33.00,En Stock
350153,&#xC1;rbol de t&#xE9; (Tea Tree) 15 ml 30.00 PV Al por menor: &#x20AC;48.70 Al por mayor: &#x20AC;37.01,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,35.25,En Stock
350170,Bergamota (Bergamot) 15 ml 36.00 PV Al por menor: &#x20AC;58.25 Al por mayor: &#x20AC;44.27,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,37.50,En Stock
350187,Blue Cypress 5ml 34.00 PV Al por menor: &#x20AC;55.07 Al por mayor: &#x20AC;41.85,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,39.75,En Stock
350204,Canela (Cinnamon Bark) 5 ml 29.00 PV Al por menor: &#x20AC;47.11 Al por mayor: &#x20AC;35.80,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,42.00,En Stock
350221,Caraway 5 ml 12.50 PV Al por menor: &#x20AC;20.84 Al por mayor: &#x20AC;15.84,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,44.25,En Stock
350238,Cassia 15 ml 26.50 PV Al por menor: &#x20AC;43.12 Al por mayor: &#x20AC;32.78,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,46.50,En Stock
350255,Cedro (Cedarwood) 15 ml 16.00 PV Al por menor: &#x20AC;26.41 Al por mayor: &#x20AC;20.07,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,48.75,En Stock
350272,Cipr&#xE9;s (Cypress) 15 ml 24.00 PV Al por menor: &#x20AC;39.16 Al por mayor: &#x20AC;29.75,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,51.00,En Stock
350289,Citronela (Citronella) 5 ml 12.00 PV Al por menor: &#x20AC;20.05 Al por mayor: &#x20AC;15.23,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,53.25,En Stock
350306,Clavo (Clove) 15 ml 21.00 PV Al por menor: &#x20AC;34.38 Al por mayor: &#x20AC;26.12,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,55.50,En Stock
350323,Copaiba 15 ml 50.00 PV Al por menor: &#x20AC;80.55 Al por mayor: &#x20AC;61.21,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,57.75,En Stock
350340,Dalmatia Bay Laurel 5ml 29.00 PV Al por menor: &#x20AC;47.11 Al por mayor: &#x20AC;35.80,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,60.00,En Stock
350357,Davana 5 ml 48.00 PV Al por menor: &#x20AC;77.36 Al por mayor: &#x20AC;58.79,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,62.25,En Stock
350374,Dorado Azul 5 ml 45.50 PV Al por menor: &#x20AC;73.37 Al por mayor: &#x20AC;55.77,Especie botánica auténtica,"15ml, 5ml",Aceites Individuales,64.50,En Stock
